check,location,failures
repeated_total_column,15-Mar,0
repeated_total_column,16-Mar,0
repeated_total_column,17-Mar,0
repeated_total_column,18-Mar,0
repeated_total_column,19-Mar,0
repeated_total_column,20-Mar,0
repeated_total_column,21-Mar,0
repeated_total_column,22-Mar,0
repeated_total_column,23-Mar,0
repeated_total_column,24-Mar,0
repeated_total_column,25-Mar,0
repeated_total_column,26-Mar,0
repeated_total_column,27-Mar,0
repeated_total_column,28-Mar,0
repeated_total_column,29-Mar,0
repeated_total_column,30-Mar,0
repeated_total_column,1-Apr,0
repeated_total_column,2-Apr,0
repeated_total_column,3-Apr,0
repeated_total_column,4-Apr,0
repeated_total_column,5-Apr,0
repeated_total_column,6-Apr,0
repeated_total_column,7-Apr,0
repeated_total_column,8-Apr,0
repeated_total_column,9-Apr,0
repeated_total_column,10-Apr,0
repeated_total_column,11-Apr,0
repeated_total_column,12-Apr,0
repeated_total_column,13-Apr,0
repeated_total_column,14-Apr,0
repeated_total_column,15-Apr,0
repeated_total_column,16-Apr,0
repeated_total_column,17-Apr,0
repeated_total_column,18-Apr,0
repeated_total_column,19-Apr,0
repeated_total_column,20-Apr,0
repeated_total_column,21-Apr,0
repeated_total_column,22-Apr,0
repeated_total_column,23-Apr,0
repeated_total_column,24-Apr,0
repeated_total_column,25-Apr,0
repeated_total_column,26-Apr,0
repeated_total_column,27-Apr,0
repeated_total_column,28-Apr,0
repeated_total_column,29-Apr,0
repeated_total_column,30-Apr,0
repeated_total_column,1-May,0
repeated_total_column,2-May,0
repeated_total_column,3-May,0
repeated_total_column,4-May,0
repeated_total_column,5-May,0
repeated_total_column,6-May,0
repeated_total_column,7-May,0
repeated_total_column,8-May,0
repeated_total_column,9-May,0
repeated_total_column,10-May,0
repeated_total_column,11-May,0
repeated_total_column,12-May,0
repeated_total_column,13-May,0
repeated_total_column,14-May,0
repeated_total_column,15-May,0
repeated_total_column,16-May,0
repeated_total_column,17-May,0
repeated_total_column,18-May,0
repeated_total_column,19-May,0
repeated_total_column,20-May,0
repeated_total_column,21-May,0
repeated_total_column,22-May,0
repeated_total_column,23-May,0
repeated_total_column,24-May,0
repeated_total_column,25-May,0
repeated_total_column,26-May,0
repeated_total_column,27-May,0
repeated_total_column,28-May,0
repeated_total_column,29-May,0
repeated_total_column,30-May,0
repeated_total_column,1-Jun,0
repeated_total_column,2-Jun,0
repeated_total_column,3-Jun,0
repeated_total_column,4-Jun,0
repeated_total_column,5-Jun,0
repeated_total_column,6-Jun,0
repeated_total_column,7-Jun,0
repeated_total_column,8-Jun,0
repeated_total_column,9-Jun,0
repeated_total_column,10-Jun,0
repeated_total_column,11-Jun,0
repeated_total_column,12-Jun,0
repeated_total_column,13-Jun,0
repeated_total_column,14-Jun,0
repeated_total_column,15-Jun,0
repeated_total_column,16-Jun,0
repeated_total_column,17-Jun,0
repeated_total_column,18-Jun,0
repeated_total_column,19-Jun,0
repeated_total_column,20-Jun,0
repeated_total_column,21-Jun,0
repeated_total_column,22-Jun,0
repeated_total_column,23-Jun,0
repeated_total_column,24-Jun,0
repeated_total_column,25-Jun,0
repeated_total_column,26-Jun,0
repeated_total_column,27-Jun,0
repeated_total_column,28-Jun,0
repeated_total_column,29-Jun,0
repeated_total_column,1-Jul,0
repeated_total_column,2-Jul,0
repeated_total_column,3-Jul,0
repeated_total_column,4-Jul,0
repeated_total_column,5-Jul,0
repeated_total_column,6-Jul,0
repeated_total_column,7-Jul,0
repeated_total_column,8-Jul,0
repeated_total_column,9-Jul,0
repeated_total_column,10-Jul,0
repeated_total_column,11-Jul,0
repeated_total_column,12-Jul,0
repeated_total_column,13-Jul,0
repeated_total_column,14-Jul,0
repeated_total_column,15-Jul,0
repeated_total_column,16-Jul,0
repeated_total_column,17-Jul,0
repeated_total_column,18-Jul,0
repeated_total_column,19-Jul,0
repeated_total_column,20-Jul,0
repeated_total_column,21-Jul,0
repeated_total_column,22-Jul,0
repeated_total_column,23-Jul,0
repeated_total_column,24-Jul,0
repeated_total_column,25-Jul,0
repeated_total_column,26-Jul,0
repeated_total_column,27-Jul,0
repeated_total_column,28-Jul,0
repeated_total_column,29-Jul,0
repeated_total_column,30-Jul,0
repeated_total_column,1-Aug,0
repeated_total_column,2-Aug,0
repeated_total_column,3-Aug,0
repeated_total_column,4-Aug,0
repeated_total_column,5-Aug,0
repeated_total_column,6-Aug,0
repeated_total_column,7-Aug,0
repeated_total_column,8-Aug,0
repeated_total_column,9-Aug,0
repeated_total_column,10-Aug,0
repeated_total_column,11-Aug,0
repeated_total_column,12-Aug,0
repeated_total_column,13-Aug,0
repeated_total_column,14-Aug,0
repeated_total_column,15-Aug,0
repeated_total_column,16-Aug,0
repeated_total_column,17-Aug,0
repeated_total_column,18-Aug,0
repeated_total_column,19-Aug,0
repeated_total_column,20-Aug,0
repeated_total_column,21-Aug,0
repeated_total_column,22-Aug,0
repeated_total_column,23-Aug,0
repeated_total_column,24-Aug,0
repeated_total_column,25-Aug,0
repeated_total_column,26-Aug,0
repeated_total_column,27-Aug,0
repeated_total_column,28-Aug,0
repeated_total_column,29-Aug,0
repeated_total_column,30-Aug,0
repeated_total_column,31-Aug,0
repeated_total_column,1-Sep,0
repeated_total_column,2-Sep,0
repeated_total_column,3-Sep,0
repeated_total_column,4-Sep,0
repeated_total_column,5-Sep,0
repeated_total_column,6-Sep,0
repeated_total_column,7-Sep,0
repeated_total_column,8-Sep,0
repeated_total_column,9-Sep,0
repeated_total_column,10-Sep,0
repeated_total_column,11-Sep,0
repeated_total_column,12-Sep,0
repeated_total_column,13-Sep,0
repeated_total_column,14-Sep,0
repeated_total_column,15-Sep,0
repeated_total_column,16-Sep,0
repeated_total_column,17-Sep,0
repeated_total_column,18-Sep,0
repeated_total_column,19-Sep,0
repeated_total_column,20-Sep,0
repeated_total_column,21-Sep,0
repeated_total_column,22-Sep,0
repeated_total_column,23-Sep,0
repeated_total_column,24-Sep,0
repeated_total_column,25-Sep,0
repeated_total_column,26-Sep,0
repeated_total_column,27-Sep,0
repeated_total_column,28-Sep,0
repeated_total_column,29-Sep,0
repeated_total_column,1-Oct,0
repeated_total_column,2-Oct,0
repeated_total_column,3-Oct,0
repeated_total_column,4-Oct,0
repeated_total_column,5-Oct,0
repeated_total_column,6-Oct,0
repeated_total_column,7-Oct,0
repeated_total_column,8-Oct,0
repeated_total_column,9-Oct,0
repeated_total_column,10-Oct,0
repeated_total_column,11-Oct,0
repeated_total_column,12-Oct,0
repeated_total_column,13-Oct,0
repeated_total_column,14-Oct,0
repeated_total_column,15-Oct,0
repeated_total_column,16-Oct,0
repeated_total_column,17-Oct,0
repeated_total_column,18-Oct,0
repeated_total_column,19-Oct,0
repeated_total_column,20-Oct,0
repeated_total_column,21-Oct,0
repeated_total_column,22-Oct,0
repeated_total_column,23-Oct,0
repeated_total_column,24-Oct,0
repeated_total_column,25-Oct,0
repeated_total_column,26-Oct,0
repeated_total_column,27-Oct,0
repeated_total_column,28-Oct,0
repeated_total_column,29-Oct,0
repeated_total_column,30-Oct,0
repeated_total_column,1-Nov,0
repeated_total_column,2-Nov,0
repeated_total_column,3-Nov,0
repeated_total_column,4-Nov,0
repeated_total_column,5-Nov,0
repeated_total_column,6-Nov,0
repeated_total_column,7-Nov,0
repeated_total_column,8-Nov,0
repeated_total_column,9-Nov,0
repeated_total_column,10-Nov,0
repeated_total_column,11-Nov,0
repeated_total_column,12-Nov,0
repeated_total_column,13-Nov,0
repeated_total_column,14-Nov,0
repeated_total_column,15-Nov,0
repeated_total_column,16-Nov,0
repeated_total_column,17-Nov,0
repeated_total_column,18-Nov,0
repeated_total_column,19-Nov,0
repeated_total_column,20-Nov,0
repeated_total_column,21-Nov,0
repeated_total_column,22-Nov,0
repeated_total_column,23-Nov,0
repeated_total_column,24-Nov,0
repeated_total_column,25-Nov,0
repeated_total_column,26-Nov,0
repeated_total_column,27-Nov,0
repeated_total_column,28-Nov,0
repeated_total_column,29-Nov,0
repeated_total_column,30-Nov,0
repeated_total_column,1-Dec,0
repeated_total_column,2-Dec,0
repeated_total_column,3-Dec,0
repeated_total_column,4-Dec,0
repeated_total_column,5-Dec,0
repeated_total_column,6-Dec,0
repeated_total_column,7-Dec,0
repeated_total_column,8-Dec,0
repeated_total_column,9-Dec,0
repeated_total_column,10-Dec,0
repeated_total_column,11-Dec,0
repeated_total_column,12-Dec,0
repeated_total_column,13-Dec,0
repeated_total_column,14-Dec,0
repeated_total_column,15-Dec,0
repeated_total_column,16-Dec,0
repeated_total_column,17-Dec,0
repeated_total_column,18-Dec,0
repeated_total_column,19-Dec,0
repeated_total_column,20-Dec,0
repeated_total_column,21-Dec,0
repeated_total_column,22-Dec,0
repeated_total_column,23-Dec,0
repeated_total_column,24-Dec,0
repeated_total_column,25-Dec,0
repeated_total_column,26-Dec,0
repeated_total_column,27-Dec,0
repeated_total_column,28-Dec,0
repeated_total_column,29-Dec,0
repeated_total_column,30-Dec,0
daily_total_reconciliation,2014-01-01,0
daily_total_reconciliation,2014-01-02,0
daily_total_reconciliation,2014-01-03,0
daily_total_reconciliation,2014-01-04,0
daily_total_reconciliation,2014-01-05,0
daily_total_reconciliation,2014-01-06,0
daily_total_reconciliation,2014-01-07,0
daily_total_reconciliation,2014-01-08,0
daily_total_reconciliation,2014-01-09,0
daily_total_reconciliation,2014-01-10,0
daily_total_reconciliation,2014-01-11,0
daily_total_reconciliation,2014-01-12,0
daily_total_reconciliation,2014-01-13,0
daily_total_reconciliation,2014-01-14,0
daily_total_reconciliation,2014-01-15,0
daily_total_reconciliation,2014-01-16,0
daily_total_reconciliation,2014-01-17,0
daily_total_reconciliation,2014-01-18,0
daily_total_reconciliation,2014-01-19,0
daily_total_reconciliation,2014-01-20,0
daily_total_reconciliation,2014-01-21,0
daily_total_reconciliation,2014-01-22,0
daily_total_reconciliation,2014-01-23,0
daily_total_reconciliation,2014-01-24,0
daily_total_reconciliation,2014-01-25,0
daily_total_reconciliation,2014-01-26,0
daily_total_reconciliation,2014-01-27,0
daily_total_reconciliation,2014-01-28,0
daily_total_reconciliation,2014-01-29,0
daily_total_reconciliation,2014-01-30,0
daily_total_reconciliation,2014-02-01,0
daily_total_reconciliation,2014-02-02,0
daily_total_reconciliation,2014-02-03,0
daily_total_reconciliation,2014-02-04,0
daily_total_reconciliation,2014-02-05,0
daily_total_reconciliation,2014-02-06,0
daily_total_reconciliation,2014-02-07,0
daily_total_reconciliation,2014-02-08,0
daily_total_reconciliation,2014-02-09,0
daily_total_reconciliation,2014-02-10,0
daily_total_reconciliation,2014-02-11,0
daily_total_reconciliation,2014-02-12,0
daily_total_reconciliation,2014-02-13,0
daily_total_reconciliation,2014-02-14,0
daily_total_reconciliation,2014-02-15,0
daily_total_reconciliation,2014-02-16,0
daily_total_reconciliation,2014-02-17,0
daily_total_reconciliation,2014-02-18,0
daily_total_reconciliation,2014-02-19,0
daily_total_reconciliation,2014-02-20,0
daily_total_reconciliation,2014-02-21,0
daily_total_reconciliation,2014-02-22,0
daily_total_reconciliation,2014-02-23,0
daily_total_reconciliation,2014-02-24,0
daily_total_reconciliation,2014-02-25,0
daily_total_reconciliation,2014-02-26,0
daily_total_reconciliation,2014-02-27,0
daily_total_reconciliation,2014-03-01,0
daily_total_reconciliation,2014-03-02,0
daily_total_reconciliation,2014-03-03,0
daily_total_reconciliation,2014-03-04,0
daily_total_reconciliation,2014-03-05,0
daily_total_reconciliation,2014-03-06,0
daily_total_reconciliation,2014-03-07,0
daily_total_reconciliation,2014-03-08,0
daily_total_reconciliation,2014-03-09,0
daily_total_reconciliation,2014-03-10,0
daily_total_reconciliation,2014-03-11,0
daily_total_reconciliation,2014-03-12,0
daily_total_reconciliation,2014-03-13,0
daily_total_reconciliation,2014-03-14,0
daily_total_reconciliation,2014-03-15,0
daily_total_reconciliation,2014-03-16,0
daily_total_reconciliation,2014-03-17,0
daily_total_reconciliation,2014-03-18,0
daily_total_reconciliation,2014-03-19,0
daily_total_reconciliation,2014-03-20,0
daily_total_reconciliation,2014-03-21,0
daily_total_reconciliation,2014-03-22,0
daily_total_reconciliation,2014-03-23,0
daily_total_reconciliation,2014-03-24,0
daily_total_reconciliation,2014-03-25,0
daily_total_reconciliation,2014-03-26,0
daily_total_reconciliation,2014-03-27,0
daily_total_reconciliation,2014-03-28,0
daily_total_reconciliation,2014-03-29,0
daily_total_reconciliation,2014-03-30,0
daily_total_reconciliation,2014-04-01,0
daily_total_reconciliation,2014-04-02,0
daily_total_reconciliation,2014-04-03,0
daily_total_reconciliation,2014-04-04,0
daily_total_reconciliation,2014-04-05,0
daily_total_reconciliation,2014-04-06,0
daily_total_reconciliation,2014-04-07,0
daily_total_reconciliation,2014-04-08,0
daily_total_reconciliation,2014-04-09,0
daily_total_reconciliation,2014-04-10,0
daily_total_reconciliation,2014-04-11,0
daily_total_reconciliation,2014-04-12,0
daily_total_reconciliation,2014-04-13,0
daily_total_reconciliation,2014-04-14,0
daily_total_reconciliation,2014-04-15,0
daily_total_reconciliation,2014-04-16,0
daily_total_reconciliation,2014-04-17,0
daily_total_reconciliation,2014-04-18,0
daily_total_reconciliation,2014-04-19,0
daily_total_reconciliation,2014-04-20,0
daily_total_reconciliation,2014-04-21,0
daily_total_reconciliation,2014-04-22,0
daily_total_reconciliation,2014-04-23,0
daily_total_reconciliation,2014-04-24,0
daily_total_reconciliation,2014-04-25,0
daily_total_reconciliation,2014-04-26,0
daily_total_reconciliation,2014-04-27,0
daily_total_reconciliation,2014-04-28,0
daily_total_reconciliation,2014-04-29,0
daily_total_reconciliation,2014-05-01,0
daily_total_reconciliation,2014-05-02,0
daily_total_reconciliation,2014-05-03,0
daily_total_reconciliation,2014-05-04,0
daily_total_reconciliation,2014-05-05,0
daily_total_reconciliation,2014-05-06,0
daily_total_reconciliation,2014-05-07,0
daily_total_reconciliation,2014-05-08,0
daily_total_reconciliation,2014-05-09,0
daily_total_reconciliation,2014-05-10,0
daily_total_reconciliation,2014-05-11,0
daily_total_reconciliation,2014-05-12,0
daily_total_reconciliation,2014-05-13,0
daily_total_reconciliation,2014-05-14,0
daily_total_reconciliation,2014-05-15,0
daily_total_reconciliation,2014-05-16,0
daily_total_reconciliation,2014-05-17,0
daily_total_reconciliation,2014-05-18,0
daily_total_reconciliation,2014-05-19,0
daily_total_reconciliation,2014-05-20,0
daily_total_reconciliation,2014-05-21,0
daily_total_reconciliation,2014-05-22,0
daily_total_reconciliation,2014-05-23,0
daily_total_reconciliation,2014-05-24,0
daily_total_reconciliation,2014-05-25,0
daily_total_reconciliation,2014-05-26,0
daily_total_reconciliation,2014-05-27,0
daily_total_reconciliation,2014-05-28,0
daily_total_reconciliation,2014-05-29,0
daily_total_reconciliation,2014-05-30,0
daily_total_reconciliation,2014-06-01,0
daily_total_reconciliation,2014-06-02,0
daily_total_reconciliation,2014-06-03,0
daily_total_reconciliation,2014-06-04,0
daily_total_reconciliation,2014-06-05,0
daily_total_reconciliation,2014-06-06,0
daily_total_reconciliation,2014-06-07,0
daily_total_reconciliation,2014-06-08,0
daily_total_reconciliation,2014-06-09,0
daily_total_reconciliation,2014-06-10,0
daily_total_reconciliation,2014-06-11,0
daily_total_reconciliation,2014-06-12,0
daily_total_reconciliation,2014-06-13,0
daily_total_reconciliation,2014-06-14,0
daily_total_reconciliation,2014-06-15,0
daily_total_reconciliation,2014-06-16,0
daily_total_reconciliation,2014-06-17,0
daily_total_reconciliation,2014-06-18,0
daily_total_reconciliation,2014-06-19,0
daily_total_reconciliation,2014-06-20,0
daily_total_reconciliation,2014-06-21,0
daily_total_reconciliation,2014-06-22,0
daily_total_reconciliation,2014-06-23,0
daily_total_reconciliation,2014-06-24,0
daily_total_reconciliation,2014-06-25,0
daily_total_reconciliation,2014-06-26,0
daily_total_reconciliation,2014-06-27,0
daily_total_reconciliation,2014-06-28,0
daily_total_reconciliation,2014-06-29,0
daily_total_reconciliation,2014-07-01,0
daily_total_reconciliation,2014-07-02,0
daily_total_reconciliation,2014-07-03,0
daily_total_reconciliation,2014-07-04,0
daily_total_reconciliation,2014-07-05,0
daily_total_reconciliation,2014-07-06,0
daily_total_reconciliation,2014-07-07,0
daily_total_reconciliation,2014-07-08,0
daily_total_reconciliation,2014-07-09,0
daily_total_reconciliation,2014-07-10,0
daily_total_reconciliation,2014-07-11,0
daily_total_reconciliation,2014-07-12,0
daily_total_reconciliation,2014-07-13,0
daily_total_reconciliation,2014-07-14,0
daily_total_reconciliation,2014-07-15,0
daily_total_reconciliation,2014-07-16,0
daily_total_reconciliation,2014-07-17,0
daily_total_reconciliation,2014-07-18,0
daily_total_reconciliation,2014-07-19,0
daily_total_reconciliation,2014-07-20,0
daily_total_reconciliation,2014-07-21,0
daily_total_reconciliation,2014-07-22,0
daily_total_reconciliation,2014-07-23,0
daily_total_reconciliation,2014-07-24,0
daily_total_reconciliation,2014-07-25,0
daily_total_reconciliation,2014-07-26,0
daily_total_reconciliation,2014-07-27,0
daily_total_reconciliation,2014-07-28,0
daily_total_reconciliation,2014-07-29,0
daily_total_reconciliation,2014-07-30,0
daily_total_reconciliation,2014-08-01,0
daily_total_reconciliation,2014-08-02,0
daily_total_reconciliation,2014-08-03,0
daily_total_reconciliation,2014-08-04,0
daily_total_reconciliation,2014-08-05,0
daily_total_reconciliation,2014-08-06,0
daily_total_reconciliation,2014-08-07,0
daily_total_reconciliation,2014-08-08,0
daily_total_reconciliation,2014-08-09,0
daily_total_reconciliation,2014-08-10,0
daily_total_reconciliation,2014-08-11,0
daily_total_reconciliation,2014-08-12,0
daily_total_reconciliation,2014-08-13,0
daily_total_reconciliation,2014-08-14,0
daily_total_reconciliation,2014-08-15,0
daily_total_reconciliation,2014-08-16,0
daily_total_reconciliation,2014-08-17,0
daily_total_reconciliation,2014-08-18,0
daily_total_reconciliation,2014-08-19,0
daily_total_reconciliation,2014-08-20,0
daily_total_reconciliation,2014-08-21,0
daily_total_reconciliation,2014-08-22,0
daily_total_reconciliation,2014-08-23,0
daily_total_reconciliation,2014-08-24,0
daily_total_reconciliation,2014-08-25,0
daily_total_reconciliation,2014-08-26,0
daily_total_reconciliation,2014-08-27,0
daily_total_reconciliation,2014-08-28,0
daily_total_reconciliation,2014-08-29,0
daily_total_reconciliation,2014-08-30,0
daily_total_reconciliation,2014-08-31,0
daily_total_reconciliation,2014-09-01,0
daily_total_reconciliation,2014-09-02,0
daily_total_reconciliation,2014-09-03,0
daily_total_reconciliation,2014-09-04,0
daily_total_reconciliation,2014-09-05,0
daily_total_reconciliation,2014-09-06,0
daily_total_reconciliation,2014-09-07,0
daily_total_reconciliation,2014-09-08,0
daily_total_reconciliation,2014-09-09,0
daily_total_reconciliation,2014-09-10,0
daily_total_reconciliation,2014-09-11,0
daily_total_reconciliation,2014-09-12,0
daily_total_reconciliation,2014-09-13,0
daily_total_reconciliation,2014-09-14,0
daily_total_reconciliation,2014-09-15,0
daily_total_reconciliation,2014-09-16,0
daily_total_reconciliation,2014-09-17,0
daily_total_reconciliation,2014-09-18,0
daily_total_reconciliation,2014-09-19,0
daily_total_reconciliation,2014-09-20,0
daily_total_reconciliation,2014-09-21,0
daily_total_reconciliation,2014-09-22,0
daily_total_reconciliation,2014-09-23,0
daily_total_reconciliation,2014-09-24,0
daily_total_reconciliation,2014-09-25,0
daily_total_reconciliation,2014-09-26,0
daily_total_reconciliation,2014-09-27,0
daily_total_reconciliation,2014-09-28,0
daily_total_reconciliation,2014-09-29,0
daily_total_reconciliation,2014-10-01,0
daily_total_reconciliation,2014-10-02,0
daily_total_reconciliation,2014-10-03,0
daily_total_reconciliation,2014-10-04,0
daily_total_reconciliation,2014-10-05,0
daily_total_reconciliation,2014-10-06,0
daily_total_reconciliation,2014-10-07,0
daily_total_reconciliation,2014-10-08,0
daily_total_reconciliation,2014-10-09,0
daily_total_reconciliation,2014-10-10,0
daily_total_reconciliation,2014-10-11,0
daily_total_reconciliation,2014-10-12,0
daily_total_reconciliation,2014-10-13,0
daily_total_reconciliation,2014-10-14,0
daily_total_reconciliation,2014-10-15,0
daily_total_reconciliation,2014-10-16,0
daily_total_reconciliation,2014-10-17,0
daily_total_reconciliation,2014-10-18,0
daily_total_reconciliation,2014-10-19,0
daily_total_reconciliation,2014-10-20,0
daily_total_reconciliation,2014-10-21,0
daily_total_reconciliation,2014-10-22,0
daily_total_reconciliation,2014-10-23,0
daily_total_reconciliation,2014-10-24,0
daily_total_reconciliation,2014-10-25,0
daily_total_reconciliation,2014-10-26,0
daily_total_reconciliation,2014-10-27,0
daily_total_reconciliation,2014-10-28,0
daily_total_reconciliation,2014-10-29,0
daily_total_reconciliation,2014-10-30,0
daily_total_reconciliation,2014-11-01,0
daily_total_reconciliation,2014-11-02,0
daily_total_reconciliation,2014-11-03,0
daily_total_reconciliation,2014-11-04,0
daily_total_reconciliation,2014-11-05,0
daily_total_reconciliation,2014-11-06,0
daily_total_reconciliation,2014-11-07,0
daily_total_reconciliation,2014-11-08,0
daily_total_reconciliation,2014-11-09,0
daily_total_reconciliation,2014-11-10,0
daily_total_reconciliation,2014-11-11,0
daily_total_reconciliation,2014-11-12,0
daily_total_reconciliation,2014-11-13,0
daily_total_reconciliation,2014-11-14,0
daily_total_reconciliation,2014-11-15,0
daily_total_reconciliation,2014-11-16,0
daily_total_reconciliation,2014-11-17,0
daily_total_reconciliation,2014-11-18,0
daily_total_reconciliation,2014-11-19,0
daily_total_reconciliation,2014-11-20,0
daily_total_reconciliation,2014-11-21,0
daily_total_reconciliation,2014-11-22,0
daily_total_reconciliation,2014-11-23,0
daily_total_reconciliation,2014-11-24,0
daily_total_reconciliation,2014-11-25,0
daily_total_reconciliation,2014-11-26,0
daily_total_reconciliation,2014-11-27,0
daily_total_reconciliation,2014-11-28,0
daily_total_reconciliation,2014-11-29,0
daily_total_reconciliation,2014-11-30,0
daily_total_reconciliation,2014-12-01,0
daily_total_reconciliation,2014-12-02,0
daily_total_reconciliation,2014-12-03,0
daily_total_reconciliation,2014-12-04,0
daily_total_reconciliation,2014-12-05,0
daily_total_reconciliation,2014-12-06,0
daily_total_reconciliation,2014-12-07,0
daily_total_reconciliation,2014-12-08,0
daily_total_reconciliation,2014-12-09,0
daily_total_reconciliation,2014-12-10,0
daily_total_reconciliation,2014-12-11,0
daily_total_reconciliation,2014-12-12,0
daily_total_reconciliation,2014-12-13,0
daily_total_reconciliation,2014-12-14,0
daily_total_reconciliation,2014-12-15,0
daily_total_reconciliation,2014-12-16,0
daily_total_reconciliation,2014-12-17,0
daily_total_reconciliation,2014-12-18,0
daily_total_reconciliation,2014-12-19,0
daily_total_reconciliation,2014-12-20,0
daily_total_reconciliation,2014-12-21,0
daily_total_reconciliation,2014-12-22,0
daily_total_reconciliation,2014-12-23,0
daily_total_reconciliation,2014-12-24,0
daily_total_reconciliation,2014-12-25,0
daily_total_reconciliation,2014-12-26,0
daily_total_reconciliation,2014-12-27,0
daily_total_reconciliation,2014-12-28,0
daily_total_reconciliation,2014-12-29,0
daily_total_reconciliation,2014-12-30,0
year_total_reconciliation,2014,0
hour_by_year_total_reconciliation,2014/0,0
hour_by_year_total_reconciliation,2014/1,0
hour_by_year_total_reconciliation,2014/2,0
hour_by_year_total_reconciliation,2014/3,0
hour_by_year_total_reconciliation,2014/4,0
hour_by_year_total_reconciliation,2014/5,0
hour_by_year_total_reconciliation,2014/6,0
hour_by_year_total_reconciliation,2014/7,0
hour_by_year_total_reconciliation,2014/8,0
hour_by_year_total_reconciliation,2014/9,0
hour_by_year_total_reconciliation,2014/10,0
hour_by_year_total_reconciliation,2014/11,0
hour_by_year_total_reconciliation,2014/12,0
hour_by_year_total_reconciliation,2014/13,0
hour_by_year_total_reconciliation,2014/14,0
hour_by_year_total_reconciliation,2014/15,0
hour_by_year_total_reconciliation,2014/16,0
hour_by_year_total_reconciliation,2014/17,0
hour_by_year_total_reconciliation,2014/18,0
hour_by_year_total_reconciliation,2014/19,0
hour_by_year_total_reconciliation,2014/20,0
hour_by_year_total_reconciliation,2014/21,0
hour_by_year_total_reconciliation,2014/22,0
hour_by_year_total_reconciliation,2014/23,0
daily_total_reconciliation,2015-01-01,0
daily_total_reconciliation,2015-01-02,0
daily_total_reconciliation,2015-01-03,0
daily_total_reconciliation,2015-01-04,0
daily_total_reconciliation,2015-01-05,0
daily_total_reconciliation,2015-01-06,0
daily_total_reconciliation,2015-01-07,0
daily_total_reconciliation,2015-01-08,0
daily_total_reconciliation,2015-01-09,0
daily_total_reconciliation,2015-01-10,0
daily_total_reconciliation,2015-01-11,0
daily_total_reconciliation,2015-01-12,0
daily_total_reconciliation,2015-01-13,0
daily_total_reconciliation,2015-01-14,0
daily_total_reconciliation,2015-01-15,0
daily_total_reconciliation,2015-01-16,0
daily_total_reconciliation,2015-01-17,0
daily_total_reconciliation,2015-01-18,0
daily_total_reconciliation,2015-01-19,0
daily_total_reconciliation,2015-01-20,0
daily_total_reconciliation,2015-01-21,0
daily_total_reconciliation,2015-01-22,0
daily_total_reconciliation,2015-01-23,0
daily_total_reconciliation,2015-01-24,0
daily_total_reconciliation,2015-01-25,0
daily_total_reconciliation,2015-01-26,0
daily_total_reconciliation,2015-01-27,0
daily_total_reconciliation,2015-01-28,0
daily_total_reconciliation,2015-01-29,0
daily_total_reconciliation,2015-01-30,0
daily_total_reconciliation,2015-02-01,0
daily_total_reconciliation,2015-02-02,0
daily_total_reconciliation,2015-02-03,0
daily_total_reconciliation,2015-02-04,0
