name,records,stays
insulin asp prt-insulin aspart [Novolog Mix 70-30],1,1
insulin aspart [Novolog Flexpen],1,1
insulin detemir [Levemir FlexTouch],1,1
insulin glargine,1,1
digoxin [Digitek],1,1
diphenoxylate-atropine,1,1
docosahexanoic acid-epa [Fish Oil],1,1
docusate calcium,1,1
docusate sodium [Stool Softener],1,1
doxazosin,1,1
doxycycline hyclate,1,1
ipratropium bromide [Atrovent HFA],1,1
isosorbide dinitrate,1,1
ketoconazole,1,1
ketorolac,1,1
codeine-guaifenesin,1,1
coenzyme Q10,1,1
colchicine [Colcrys],1,1
collagenase clostridium histo. [Santyl],1,1
cyclobenzaprine,1,1
dabigatran etexilate [Pradaxa],1,1
dextroamphetamine-amphetamine [Adderall XR],2,1
ceftriaxone,1,1
cetirizine,2,1
chlorpheniramine maleate,2,1
ciprofloxacin HCl,1,1
citalopram,1,1
clonidine HCl,1,1
calcium,1,1
calcium carbonate-vitamin D3 [Calcium 500 + D],1,1
calcium gluconate,1,1
carbamide peroxide,1,1
linezolid [Zyvox],1,1
liraglutide [Victoza 3-Pak],1,1
lysine,1,1
magnesium citrate,1,1
boric acid,1,1
budesonide-formoterol [Symbicort],1,1
ammonium chloride,2,1
amoxicillin-pot clavulanate,1,1
apixaban,1,1
aspirin [Enteric Coated Aspirin],2,1
atorvastatin [Lipitor],1,1
benzocaine-menthol,1,1
benzonatate,1,1
beta carotene,1,1
biotin,1,1
meclizine,1,1
methenamine hippurate,2,1
metoprolol tartrate [Lopressor],1,1
metronidazole,1,1
acetaminophen-codeine,1,1
acetazolamide,1,1
alendronate,1,1
amantadine HCl,1,1
micafungin [Mycamine],1,1
miconazole,1,1
miconazole nitrate,1,1
morphine,1,1
moxifloxacin [Vigamox],1,1
multivitamin [Daily Multi-Vitamin],1,1
multivitamin [One-A-Day Essential],1,1
"multivitamin,tx-iron-minerals [Thera-M]",1,1
naproxen,1,1
Valtrex,1,1
Vasotec,1,1
Victoza,1,1
Vitamin B-12,1,1
Vitamin C,1,1
Vitamin D-3,1,1
Warfarin,1,1
Xiaflex,1,1
Revlimid,1,1
Robafen DM Cough-Chest Congest,1,1
Simvastatin,1,1
TPN Electrolytes,1,1
Toprol XL,1,1
Truvada,1,1
Tylenol Ex Str Rapid Release,1,1
Uloric,1,1
norethindrone-e.estradiol-iron [Junel FE 1.5/30 (28)],1,1
One Daily Multivitamin,1,1
One-A-Day Vitacraves Immunity,1,1
Paroxetine HCl,1,1
Plavix,1,1
Prezista,1,1
Probiotic Blend,1,1
Proventil HFA,1,1
Pulmicort Flexhaler,1,1
Remeron,1,1
Rena-Vite,1,1
peg 3350-electrolytes-vit C,1,1
"pen needle, diabetic [BD Ultra-Fine Nano Pen Needles]",2,1
phenazopyridine,1,1
phosphatidylcholine (bulk),2,1
pilocarpine HCl,1,1
polyethyl glycol-polyvinyl alc,1,1
potassium,1,1
Miralax,1,1
Mucinex,1,1
Multiple Vitamins,1,1
Neurontin,2,1
Niacin Flush Free,1,1
Nitrostat,1,1
Norco,2,1
Norvir,1,1
Novolin 70-30 FlexPen U-100,1,1
potassium chloride [Klor-Con M10],1,1
potassium chloride [Klor-Con M20],1,1
"potassium, sodium phosphates [Phos-NaK]",1,1
prednisolone acetate,1,1
pregabalin,2,1
promethazine,3,1
pseudoephedrine HCl,1,1
Lantus Solostar U-100 Insulin,1,1
Lantus U-100 Insulin,1,1
Lasix,1,1
Lexapro,1,1
Lidoderm,1,1
Lisinopril,1,1
Lovenox,1,1
Lyrica,2,1
rifaximin,1,1
saccharomyces boulardii [Florastor],1,1
selenium,1,1
Flagyl,1,1
Flomax,1,1
Florastor,1,1
Genvoya,1,1
Glipizide,1,1
High Potency Calcium,1,1
Humalog U-100 Insulin,1,1
Itch Relief (clotrimazole),1,1
Keflex,1,1
Keppra,1,1
Klonopin,3,1
Centrum Silver,1,1
Coreg,1,1
Cymbalta,2,1
Depakote,2,1
Depakote ER,3,1
Digestive Probiotic,1,1
Dilaudid,1,1
Ecotrin Low Strength,2,1
simethicone [Gas Relief 80],1,1
sodium phosphates [Fleet Enema],1,1
tetrahydrozoline-zinc,1,1
thiamine HCl (vitamin B1),1,1
*nutrient drink ,1,1
*iron liquid ,1,1
*depakote DR,1,1
*acuvite,1,1
zoster vaccine live (PF) [Zostavax (PF)],2,1
